Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-06-12,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-12,Running,Cardio,557.0,44,,,,,
2020-06-16,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-16,Running,Cardio,493.0,40,,,,,
2020-06-18,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-18,Running,Cardio,548.0,42,,,,,
2020-06-20,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-20,Running,Cardio,796.0,63,,,,,
2020-06-21,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-21,Running,Cardio,447.0,35,,,,,
2020-06-23,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-23,Running,Cardio,477.0,36,,,,,
2020-06-25,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-25,Running,Cardio,446.0,35,,,,,
2020-06-27,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-27,Running,Cardio,443.0,34,,,,,
2020-06-30,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-06-30,Running,Cardio,447.0,35,,,,,
2020-07-02,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-02,Running,Cardio,532.0,42,,,,,
2020-07-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-04,Running,Cardio,482.0,37,,,,,
2020-07-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-07,Running,Cardio,548.0,42,,,,,
2020-07-09,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-09,Running,Cardio,462.0,37,,,,,
2020-07-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-10,Running,Cardio,423.0,33,,,,,
2020-07-14,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-14,Running,Cardio,532.0,43,,,,,
2020-07-16,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-16,Running,Cardio,480.0,35,,,,,
2020-07-23,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-23,Running,Cardio,580.0,45,,,,,
2020-07-26,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-26,Running,Cardio,1022.0,84,,,,,
2020-07-28,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-28,Running,Cardio,461.0,35,,,,,
2020-07-30,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-07-30,Running,Cardio,546.0,45,,,,,
2020-08-01,MapMyFitness calorie adjustment,Cardio,704.0,1,,,,,
2020-08-03,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-03,Running,Cardio,19.0,5,,,,,
2020-08-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-04,Running,Cardio,578.0,45,,,,,
2020-08-06,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-06,Running,Cardio,479.0,35,,,,,
2020-08-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-07,Running,Cardio,22.0,5,,,,,
2020-08-08,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-08,Running,Cardio,990.0,76,,,,,
2020-08-11,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-11,Running,Cardio,557.0,44,,,,,
2020-08-13,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-13,Running,Cardio,459.0,39,,,,,
2020-08-13,Running,Cardio,84.0,7,,,,,
2020-08-15,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-15,Running,Cardio,974.0,80,,,,,
2020-08-20,MapMyFitness calorie adjustment,Cardio,633.0,1,,,,,
2020-08-22,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-22,Running,Cardio,956.0,75,,,,,
2020-08-25,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-25,Running,Cardio,311.0,22,,,,,
2020-08-30,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-08-30,Running,Cardio,63.0,5,,,,,
2020-08-30,Running,Cardio,892.0,73,,,,,
2020-08-30,Running,Cardio,1001.0,86,,,,,
2020-09-01,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-01,Running,Cardio,545.0,42,,,,,
2020-09-03,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-03,Running,Cardio,500.0,36,,,,,
2020-09-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-05,Running,Cardio,966.0,74,,,,,
2020-09-08,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-08,Running,Cardio,562.0,43,,,,,
2020-09-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-10,Running,Cardio,492.0,35,,,,,
2020-09-10,Running,Cardio,484.0,35,,,,,
2020-09-12,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-09-12,Running,Cardio,926.0,76,,,,,
